"Pt-0","true","91.73903765072961","172.87847338179995","25.508848202918514","187.86523217676287","268.90125252281035","26.172627505487153"
"Pt-1","true","14.71776786238346","97.67675947632398","25.508848202918518","96.66013827074529","212.98120225494733","25.561865164950785"
"Pt-2","true","98.01675534359423","78.63699090919009","12.249009379378846","179.6384125294454","187.0757898034507","12.609158939202475"
"Pt-3","true","90.19685039637852","44.97740004943553","12.249009379378846","180.44795666855467","163.19423769972727","12.609158939202475"
"Pt-4","true","92.91681733454051","152.41609410683392","12.249009379378846","183.2813611554371","259.12521818417565","12.609158939202475"
"Pt-5","true","19.817705871437177","93.25681320181076","38.42869115918794","106.77944000961116","211.3621139767288","35.681166903816646"
"Pt-6","true","53.477296731191736","69.4571024928934","38.42869115918794","145.23278661730146","189.0996501512239","35.681166903816646"
"Pt-7","true","69.4571024928934","75.9170239710281","38.42869115918794","162.2332135385961","192.33782670766095","35.681166903816646"
"Pt-8","true","123.17644952159259","59.25722647478595","38.42869115918794","207.9724573982698","175.74217185592096","35.681166903816646"
"Pt-9","true","14.377771995113212","43.95741244762479","38.42869115918794","87.75515274054334","168.45627460393752","35.681166903816646"
