"Pt-0","true","134.21282678560308","34.19616862620984","52.62054552032725","228.0984096522135","107.87936210003156","76.28738627959464"
"Pt-1","true","160.06635154115094","27.217303048025133","52.62054552032725","258.4586198389159","99.22528349541076","76.28738627959464"
"Pt-2","true","147.384410202215","33.43447913089528","72.74249341892691","257.81709902885893","107.1381594526014","89.33436786010225"
"Pt-3","true","150.33995977457624","53.70110476994365","72.74249341892691","262.61524792728653","122.67502255227177","89.33436786010225"
"Pt-4","true","54.66855917548733","79.41226480933602","110.01371091389697","158.17615542154837","164.93862523260432","119.97317274980868"
"Pt-5","true","38.831035681306","79.66770873666154","110.01371091389697","140.08027957604995","164.93862523260432","119.97317274980868"
"Pt-6","true","55.17944703013834","106.23387717851408","110.01371091389697","154.6575128960348","190.5744493470604","119.97317274980868"
"Pt-7","true","84.58162803189755","129.88987768835736","110.01371091389693","194.0181397196074","207.26776085478508","119.97317274980867"
"Pt-8","true","74.70814804636956","159.51031764494132","121.53277089701292","186.44890201893574","238.4352102104919","131.1044046625611"
"Pt-9","true","82.93604803430952","30.743682833680438","121.53277089701292","179.7701628712843","113.32016351115452","131.1044046625611"
"Pt-10","true","72.54450796774084","6.902514736467001","8.206244314660196","171.45393671498005","79.61469292262872","14.385802918743957"
"Pt-11","true","82.00659295387183","78.89663963094192","8.206244314660196","184.36616573377285","170.4455453306886","14.385802918743957"
"Pt-12","true","81.59519795447483","119.21334957184787","8.206244314660196","181.24942079820218","190.48176277364297","14.385802918743957"
"Pt-13","true","36.753143020201875","173.51748949225183","8.206244314660196","149.63672216598525","266.1741397803595","14.385802918743957"
"Pt-14","true","11.658048056984901","87.9473296176759","8.206244314660196","106.00229306799572","182.0220265199511","14.385802918743957"
"Pt-15","true","94.75983793517881","133.20077955134587","95.83337918622111","209.74537449484842","214.52522370518824","110.1143973684149"
